OID,Pickup,Deliver,Fi
1,1,51,5
2,2,52,5
3,3,53,5
4,4,54,5
5,5,55,5
6,6,56,5
7,7,57,5
8,8,58,5
9,9,59,5
10,10,60,5
11,11,61,5
12,12,62,5
13,13,63,5
14,14,64,5
15,15,65,5
16,16,66,5
17,17,67,5
18,18,68,5
19,19,69,5
20,20,70,5
21,21,71,5
22,22,72,5
23,23,73,5
24,24,74,5
25,25,75,5
26,26,76,5
27,27,77,5
28,28,78,5
29,29,79,5
30,30,80,5
31,31,81,5
32,32,82,5
33,33,83,5
34,34,84,5
35,35,85,5
36,36,86,5
37,37,87,5
38,38,88,5
39,39,89,5
40,40,90,5
41,41,91,5
42,42,92,5
43,43,93,5
44,44,94,5
45,45,95,5
46,46,96,5
47,47,97,5
48,48,98,5
49,49,99,5
50,50,100,5
